Trolley_Rank,Stop_Name,Route,District,Units_2020_2025,Permits_2020_2025,Development_Score,Frequency_Score,Total_Score
285,Girard Av & 49th St,G1,4,10,1,0.9,25.5,26.4
286,Girard Av & 59th St,G1,4,10,1,0.9,25.5,26.4
287,Girard Av & 60th St,G1,4,10,1,0.9,25.5,26.4
288,Girard Av & 60th St,G1,4,10,1,0.9,25.5,26.4
289,Girard Av & 59th St,G1,4,10,1,0.9,25.5,26.4
290,Girard Av & 57th St,G1,4,10,1,0.9,25.5,26.4
291,Girard Av & Lancaster Av,G1,3,10,1,0.9,25.5,26.4
292,Girard Av & 34th St - MBFS,G1,3,10,1,0.9,25.5,26.4
293,63rd St & Jefferson St,T1,4,10,1,0.9,25.5,26.4
294,Lansdowne Av & 62nd St,T1,4,10,1,0.9,25.5,26.4
295,Lansdowne Av & 61st St,T1,4,10,1,0.9,25.5,26.4
296,Lancaster Av & Girard Av,T1,4,10,1,0.9,25.5,26.4
297,36th St Trolley Portal Station,T1,3,10,1,0.9,25.5,26.4
298,15th St/City Hall,T1,5,10,1,0.9,25.5,26.4
299,15th St/City Hall,T1,5,10,1,0.9,25.5,26.4
300,36th St Trolley Portal Station,T1,3,10,1,0.9,25.5,26.4
301,Lancaster Av & 49th St,T1,4,10,1,0.9,25.5,26.4
302,Lansdowne Av & 61st St,T1,4,10,1,0.9,25.5,26.4
303,Lansdowne Av & 62nd St,T1,4,10,1,0.9,25.5,26.4
304,63rd St & Jefferson St,T1,4,10,1,0.9,25.5,26.4
305,Elmwood Av & 73rd St,T2,2,10,1,0.9,25.5,26.4
306,Woodland Av & Island Av,T2,2,10,1,0.9,25.5,26.4
307,49th St & Woodland Av,T2,3,10,1,0.9,25.5,26.4
308,Baltimore Av & 57th St,T2,3,10,1,0.9,25.5,26.4
309,36th-Sansom,T2,3,10,1,0.9,25.5,26.4
310,15th St/City Hall,T2,5,10,1,0.9,25.5,26.4
311,15th St/City Hall,T2,5,10,1,0.9,25.5,26.4
312,36th-Sansom,T2,3,10,1,0.9,25.5,26.4
313,Woodland Av & Island Av,T2,2,10,1,0.9,25.5,26.4
314,Elmwood Av & 73rd St,T2,2,10,1,0.9,25.5,26.4
315,36th-Sansom,T3,3,10,1,0.9,25.5,26.4
316,15th St/City Hall,T3,5,10,1,0.9,25.5,26.4
